"filename", "language", "Markdown", "JSON", "JavaScript JSX", "PostCSS", "Python", "pip requirements", "YAML", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\.claude\settings.local.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\CLAUDE.md", "Markdown", 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 412
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\README.md", "Markdown", 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 391
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\backend\generate_samples.py", "Python", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 9, 11, 131
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\backend\main.py", "Python", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 68, 23, 219
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\backend\parser.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 55, 21, 129
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\backend\scorer.py", "Python", 0, 0, 0, 0, 855, 0, 0, 0, 0, 0, 407, 150, 1412
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 4, 42
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\package-lock.json", "JSON", 0, 2084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2085
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 7, 6, 33
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\public\og-image.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 19, 13, 90
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 15, 19, 160
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\CompareMode.css", "PostCSS", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 5, 33, 243
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\CompareMode.jsx", "JavaScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 15, 20, 208
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\DetailPanel.css", "PostCSS", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 5, 16, 122
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\DetailPanel.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 4, 36
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\DownloadButton.css", "PostCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\DownloadButton.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 3, 21
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\Header.css", "PostCSS", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 5, 15, 111
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\Header.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 12, 5, 47
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\KeywordBadges.css", "PostCSS", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 5, 13, 82
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\KeywordBadges.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 21, 7, 97
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\PDFViewer.css", "PostCSS", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 19, 28, 236
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\PDFViewer.jsx", "JavaScript JSX", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 25, 14, 141
"c:\Users\oshoupadhyay\PROJECTS\MY-PROJECTs\hireready\frontend\src\components\ProgressBar.css", "PostCSS", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 6, 38
